Sucursal;Editorial;Tema;Dia;Mes;Anio;NombreTitulo;Precio;Cantidad
9 DE JULIO;PAIDOS;ACTUALIDAD;13;7;2016;ANTIAGENDA LA;001;3
9 DE JULIO;PAIDOS;ACTUALIDAD;17;12;2016;ANTIAGENDA LA;140;1
9 DE JULIO;PAIDOS;ADMINISTRACION Y EMPRESA;26;10;2016;EXISTE LA SUERTE;350;1
9 DE JULIO;PAIDOS;AUTOAYUDA;28;7;2016;COMO DETECTAR MENTIRAS;260;1
9 DE JULIO;PAIDOS;AUTOAYUDA;28;9;2016;COMO DETECTAR MENTIRAS;260;1
9 DE JULIO;PAIDOS;AUTOAYUDA;28;12;2016;FUTURO SE CONSTRUYE HOY EL;220;1
9 DE JULIO;PAIDOS;CIENCIA Y TECNOLOGIA;1;12;2016;DESAFIOS DE LA MEMORIA LOS;285;1
9 DE JULIO;PAIDOS;CIENCIAS SOCIALES;1;7;2016;CHICOS EN BANDA;250;1
9 DE JULIO;PAIDOS;CIENCIAS SOCIALES;14;11;2016;TEST GUESTALTICO VISOMOTOR;001;1
9 DE JULIO;PAIDOS;CINEMATOGRAFIA - VIDEO;22;12;2016;MANUAL BASICO DE TECNOLOGIA AUDIOVISUAL Y TECNICAS;306;1
9 DE JULIO;PAIDOS;COMUNICACION - PERIODISMO;30;8;2016;IMAGEN LA;370;1
9 DE JULIO;PAIDOS;CUENTOS - INFANTILES JUVENILES;25;7;2016;FISI KA Y EL ENIGMA DEL ESPEJO;120;1
9 DE JULIO;PAIDOS;DISEÑO GRAFICO - ARTES GRAFICA;10;8;2016;DISEÑO GRAFICO Y SU ENSEÑANZA EL;72;3
9 DE JULIO;PAIDOS;EDUCACION - DIDACTICA - PEDAGO;13;6;2016;NIÑOS QUE NO APRENDEN;290;1
9 DE JULIO;PAIDOS;EDUCACION - DIDACTICA - PEDAGO;13;7;2016;AUTISMO - ESTRATEGIAS DE INTERVENCION ENTRE LO CLI;250;1
9 DE JULIO;PAIDOS;EDUCACION - DIDACTICA - PEDAGO;24;10;2016;RECUPERAR LA PEDAGOGIA;325;1
9 DE JULIO;PAIDOS;EDUCACION - DIDACTICA - PEDAGO;2;12;2016;EVALUACION Y APRENDIZAJE EN LA ESCUELA SECUNDARIA;200;1
9 DE JULIO;PAIDOS;EDUCACION - DIDACTICA - PEDAGO;22;12;2016;EDUCACION Y PODER;270;1
9 DE JULIO;PAIDOS;EDUCACION - ORIENTACION VOCACI;25;7;2016;VOLVER A ENSEÑAR;240;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;13;8;2016;VENDELE A LA MENTE NO A LA GENTE;220;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;21;9;2016;88 PELDAÑOS DEL EXITO LOS;250;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;28;10;2016;VENDELE A LA MENTE NO A LA GENTE;220;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;31;10;2016;CHARLAS TED;270;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;31;10;2016;12 PALANCAS DEL EXITO LAS;260;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;4;11;2016;VENDELE A LA MENTE NO A LA GENTE;280;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;10;12;2016;VENDELE A LA MENTE NO A LA GENTE;280;1
9 DE JULIO;PAIDOS;EMPRESA - NEGOCIOS;14;12;2016;VENDELE A LA MENTE NO A LA GENTE;280;1
9 DE JULIO;PAIDOS;FILOSOFIA;7;7;2016;AMOR EN LAS PSICOSIS EL;430;1
9 DE JULIO;PAIDOS;FILOSOFIA;23;8;2016;HABLO A LAS PAREDES;200;1
9 DE JULIO;PAIDOS;FILOSOFIA;20;9;2016;FILOSOFIA LA - QUE ES Y COMO SE PRACTICA;190;1
9 DE JULIO;PAIDOS;FILOSOFIA;22;9;2016;FILOSOFIA LA - QUE ES Y COMO SE PRACTICA;190;1
9 DE JULIO;PAIDOS;GENERALIDADES;12;9;2016;EFECTO LUCIFER EL;450;1
9 DE JULIO;PAIDOS;JUVENILES;13;7;2016;ESTO NO ES UN LIBRO;001;1
9 DE JULIO;PAIDOS;JUVENILES;13;10;2016;DESTROZA ESTE DIARIO;200;1
9 DE JULIO;PAIDOS;JUVENILES;28;12;2016;DESTROZA ESTE DIARIO;240;1
9 DE JULIO;PAIDOS;POLITICA;18;6;2016;DOCTRINA DEL SHOCK LA;370;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;1;6;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;6;2016;TEST DE ZULLIGER EN LA EVALUACION DE PERSON 3 ED;320;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;6;2016;EL SEMINARIO 3-LAS PSICOSIS;440;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;6;2016;SEMINARIO 4. LAS RELACION DE OBJETO;440;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;6;6;2016;DEL EDIPO A LA SEXUACION;430;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;7;6;2016;SEMINARIOS 1. ESCRITOS TECNICOS DE FREUD LO;439;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;8;6;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;13;6;2016;TEST GUESTALTICO VISOMOTOR - BG BENDER;550;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;13;6;2016;TEST DE APERCEPCION INFANTIL CAT - A;580;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;13;6;2016;TEST DE MAT PROG ESC AVANZADA;600;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;6;2016;TEST DEL ARBOL EL;390;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;6;2016;TEST DE MATRICES PROGRESIVAS MANUAL;440;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;6;2016;TEST DE APERCEPCION INFANTIL CAT - A;580;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;6;2016;PSICOMOTRICIDAD EN EL JARDIN DE INFANTES;100;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;6;2016;DICCIONARIO DE PSICOANALISIS;500;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;6;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;550;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;6;2016;ORIGENES DEL SUJETO Y SU LUGAR EN LA CLINICA;400;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;23;6;2016;EL ARTE DE AMAR;2125;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;23;6;2016;UNA BASE SEGURA;315;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;23;6;2016;RETORNO A LACAN;390;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;24;6;2016;SEMINARIOS 2. YO EN LA TEORIA DE FREUD Y EN;470;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;30;6;2016;EL ARTE DE AMAR;220;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;1;7;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;1;7;2016;EL ARTE DE AMAR;240;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;7;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;550;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;7;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;5391;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;7;2016;TEST DE APERCEPCION TEMATICA - TAT;630;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;7;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;4761;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;7;2016;TEST DE MAT PROG ESC AVANZADA;540;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;4;7;2016;TEST DE RELACIONES OBJETALES - TRO;720;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;5;7;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;5;7;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;560;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;6;7;2016;BULLYING - COMO PREVENIR E INTERVENIR;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;6;7;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;600;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;7;7;2016;CUESTIONARIO DESIDERATIVO;350;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;12;7;2016;EL SEMINARIO 3-LAS PSICOSIS;470;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;21;7;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;600;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;21;7;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;25;7;2016;PSICODIAGNOSTICO DE NIÑOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;3;8;2016;RETORNO A LACAN;390;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;6;8;2016;TESTS PROYECTIVOS GRAFICOS;500;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;10;8;2016;TEST GUESTALTICO VISOMOTOR (B.G) BENDER;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;10;8;2016;TEST GUESTALTICO VISOMOTOR (B.G) BENDER;200;1
