Sucursal;Dia;Mes;Anio;NombreTitulo;Precio;Cantidad
9 DE JULIO;1;6;2016;CIENCIAS NATURALES 1 - CON TEXTOS DIGITALES;350;1
9 DE JULIO;1;6;2016;CODIGO CIVIL Y COMERCIAL COMENTADO - TOMO 3;800;1
9 DE JULIO;1;6;2016;CEREBRO DE PAN;330;1
9 DE JULIO;1;6;2016;HAY UNA CURA PARA LA DIABETES;410;1
9 DE JULIO;1;6;2016;CARDIOLOGIA CRITICA - ENFOQUE DE LA PATALOGIA CARD;820;1
9 DE JULIO;2;6;2016;CONSTITUCION DE LA PROVINCIA DEL CHACO;50;1
9 DE JULIO;2;6;2016;WHAT´S UP STARTER 2ª EDC;300;1
9 DE JULIO;2;6;2016;ALL AROUND 1 -COURSE BOOK;350;1
9 DE JULIO;3;6;2016;CIUDADANIA ESTADO Y GOBIERNO - 2 ES;320;1
9 DE JULIO;3;6;2016;MATEMATICA 3 - ACTIVADOS;320;1
9 DE JULIO;3;6;2016;LA LOCURA LO CURO;320;1
9 DE JULIO;3;6;2016;CODIGO CONTENCIOSO ADMINISTRATIVO DEL CHACO L 848;50;1
9 DE JULIO;3;6;2016;SET DE REGALO: WISKY;441;1
9 DE JULIO;3;6;2016;KIDS WEB 4 COURSE BOOK;350;1
9 DE JULIO;4;6;2016;ATRAPALETRAS 2;150;1
9 DE JULIO;4;6;2016;ALL AROUND 1 -COURSE BOOK;350;1
9 DE JULIO;4;6;2016;LENGUA Y LITERATURA 2 EN LINEA 2015;310;1
9 DE JULIO;4;6;2016;GEOGRAFIA DE LA ARGENTINA - CONFIGURACION Y ORGANI;350;1
9 DE JULIO;6;6;2016;CUENTOS CON PLUMAS Y SIN PLUMAS;120;1
9 DE JULIO;6;6;2016;USADOS;150;1
9 DE JULIO;6;6;2016;EL EXTRAÑO CASO DEL DR. JEKYLL Y MR. HYDE;140;1
9 DE JULIO;6;6;2016;USADOS;200;1
9 DE JULIO;6;6;2016;PINGUINOS DEL SEÑOR POPPER,LOS;120;1
9 DE JULIO;7;6;2016;JAMON DEL SANGUCHE - ZONA LIBRE;150;1
9 DE JULIO;7;6;2016;GUIA DE ESTUDIO FAMILIA - NCCC;270;1
9 DE JULIO;7;6;2016;WHAT´S UP STARTER 2ª EDC;300;1
9 DE JULIO;7;6;2016;YO MATIAS Y LA MATEMATICA 7;280;1
9 DE JULIO;7;6;2016;JAMON DEL SANGUCHE - ZONA LIBRE;170;1
9 DE JULIO;7;6;2016;VENGANZA DE LA VACA, LA;170;1
9 DE JULIO;8;6;2016;MY LIFE STARTER STUDENTS BOOK;320;1
9 DE JULIO;8;6;2016;MIENTAS ESCRIBO;190;1
9 DE JULIO;8;6;2016;HACER EL VERSO;190;1
9 DE JULIO;8;6;2016;ATREVERSE A ESCRIBIR;150;1
9 DE JULIO;8;6;2016;MITOS 2 DE LA HISTORIA ARGENTINA;495;1
9 DE JULIO;8;6;2016;MITOS DE LA HISTORIA ARGENTINA 3, LOS;495;1
9 DE JULIO;8;6;2016;TERCERA PUERTA ,LA;150;1
9 DE JULIO;8;6;2016;RAYUELA;270;1
9 DE JULIO;8;6;2016;PINGUINOS DEL SEÑOR POPPER,LOS;100;1
9 DE JULIO;9;6;2016;PROSAS ESCOGIDAS;150;1
9 DE JULIO;9;6;2016;EJECUCION EN MATERIA COMERCIAL Y EMPRESARIAL;2000;1
9 DE JULIO;9;6;2016;FISICA Y QUIMICA 1 - FUERA DE SERIE;250;1
9 DE JULIO;9;6;2016;LENGUA 7 MAS QUE MAS;200;1
9 DE JULIO;9;6;2016;EFECTO LUNA DE MIEL;285;1
9 DE JULIO;9;6;2016;ODONTOLOGIA PEDIATRICA;2290;1
9 DE JULIO;9;6;2016;PAPELES EN EL VIENTO;270;1
9 DE JULIO;9;6;2016;ATRAPALETRAS 1;150;1
9 DE JULIO;9;6;2016;ESCRIBO CON STICKERS;50;1
9 DE JULIO;9;6;2016;VIRTUAL HERO;280;1
9 DE JULIO;9;6;2016;PROSAS ESCOGIDAS;150;1
9 DE JULIO;9;6;2016;TEORIA DE LAS ORGANIZACIONES 2 POLIMODAL;190;1
9 DE JULIO;9;6;2016;UN DETECTIVE SUELTO EN EL COLEGIO;120;1
9 DE JULIO;9;6;2016;GEOGRAFIA AMERICA: SOCIEDADES Y ESPACIOS- EN LINE;310;1
9 DE JULIO;9;6;2016;HISTORIA - ARGENTINA , AMERICA Y EUROPA DURANTE LO;310;1
9 DE JULIO;9;6;2016;FISICA Y QUIMICA 2 - FUERA DE SERIE;250;1
9 DE JULIO;10;6;2016;OBRAS COMPLETAS;385;1
9 DE JULIO;10;6;2016;OBRAS COMPLETAS;385;1
9 DE JULIO;10;6;2016;MATEMATICA 1 - CONTEXTOS DIGITALES;350;1
9 DE JULIO;10;6;2016;LENGUA Y LITERATURA 2 - SERIE CONECTA 2.0;250;1
9 DE JULIO;10;6;2016;HOMBRE DE LOS PIES MURCIELAGO;150;1
9 DE JULIO;10;6;2016;CHUPAELPERRO - UNO QUE OTRO CONSEJO;230;1
9 DE JULIO;10;6;2016;MY LIFE STARTER STUDENTS BOOK;320;1
9 DE JULIO;10;6;2016;CABALLO DE FUEGO - CONGO;370;1
9 DE JULIO;10;6;2016;SAUCE CIEGO MUJER DORMIDA;250;1
9 DE JULIO;10;6;2016;PAIS DE NIEVE;380;1
9 DE JULIO;10;6;2016;PINOCHOS : MARIONETAS O NILOS DE VERDAD;375;1
9 DE JULIO;10;6;2016;CUENTOS DE LA SELVA;80;1
9 DE JULIO;10;6;2016;ARBOLES MUEREN DE PIE,LOS;150;1
9 DE JULIO;10;6;2016;BIOLOGIA CURTIS 7ª EDICION;1350;1
9 DE JULIO;10;6;2016;SALVAJE DE BOSTON, LA;350;1
9 DE JULIO;10;6;2016;MEDICINA CHINA PARA PRINCIPIANTES;250;1
9 DE JULIO;11;6;2016;ALL AROUND 1 -COURSE BOOK;350;1
9 DE JULIO;11;6;2016;AVENTURA DEL LECTOR 4, LA LITERATURA;260;1
9 DE JULIO;11;6;2016;BAR DEL INFIERNO;200;1
9 DE JULIO;11;6;2016;ALBERTO Y MATILDA - UN CUENTO EN EL BOSQUE KODIAK;16,66;1
9 DE JULIO;11;6;2016;365 CUENTOS Y RIMAS PARA NIÑOS;300;1
