Rubro;Dia;Mes;Anio;CodProducto;Nombre;Precio;Cantidad
ALCO;2;10;2019;1798;Producto 1798;792;1
ALCO;2;10;2019;1798;Producto 1798;42287;2
ALCO;2;10;2019;1798;Producto 1798;42287;1
ALCO;2;10;2019;1797;Producto 1797;40077;1
ALCO;2;10;2019;1797;Producto 1797;792;1
ALCO;2;10;2019;1797;Producto 1797;40077;2
ALCO;2;10;2019;1797;Producto 1797;40077;1
ALCO;4;10;2019;1797;Producto 1797;792;1
ALCO;8;10;2019;1797;Producto 1797;40077;2
ALCO;8;10;2019;1798;Producto 1798;42287;2
ALCO;10;10;2019;1798;Producto 1798;42287;1
ALCO;10;10;2019;1797;Producto 1797;40077;1
ALCO;10;10;2019;1797;Producto 1797;40077;1
ALCO;11;10;2019;1797;Producto 1797;40077;1
ALCO;15;10;2019;3035;Producto 3035;450;1
ALCO;16;10;2019;3035;Producto 3035;450;15
ALCO;17;10;2019;1798;Producto 1798;42287;2
ALCO;17;10;2019;1798;Producto 1798;42287;15
ALCO;17;10;2019;1797;Producto 1797;40077;2
ALCO;17;10;2019;1797;Producto 1797;40077;30
ALCO;18;10;2019;3036;Producto 3036;250;2
ALCO;18;10;2019;3310;Producto 3310;203;5000
ALCO;18;10;2019;3035;Producto 3035;450;2
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;1480;1
ALCO;19;10;2019;3271;Producto 3271;930;1
ALCO;19;10;2019;3271;Producto 3271;930;1
ALCO;19;10;2019;3271;Producto 3271;1130;1
ALCO;19;10;2019;3271;Producto 3271;780;1
ALCO;19;10;2019;3271;Producto 3271;580;1
ALCO;22;10;2019;1797;Producto 1797;40077;1
ALCO;23;10;2019;1797;Producto 1797;40077;6
ALCO;23;10;2019;1798;Producto 1798;42287;6
ALCO;23;10;2019;3036;Producto 3036;250;5
ALCO;25;10;2019;1798;Producto 1798;42287;1
ALCO;29;10;2019;1798;Producto 1798;42287;10
ALCO;30;10;2019;1798;Producto 1798;42287;2
ALCO;4;11;2019;3035;Producto 3035;450;1
ALCO;6;11;2019;3310;Producto 3310;203;500
ALCO;7;11;2019;1799;Producto 1799;3394;1
ALCO;8;11;2019;1798;Producto 1798;42287;1
ALCO;9;11;2019;1798;Producto 1798;42287;5
ALCO;11;11;2019;3035;Producto 3035;450;4
ALCO;3;12;2019;3035;Producto 3035;450;1
ALCO;9;12;2019;3310;Producto 3310;147;500
ALCO;12;12;2019;3035;Producto 3035;450;2
ALCO;17;12;2019;2647;Producto 2647;150;15
ALCO;19;12;2019;1799;Producto 1799;3394;2
ALCO;19;12;2019;1799;Producto 1799;3394;1
ALCO;20;12;2019;3036;Producto 3036;250;4
ALCO;20;12;2019;1799;Producto 1799;3394;1
ALCO;20;12;2019;3035;Producto 3035;450;4
ALCO;27;12;2019;1799;Producto 1799;3394;1
ALCO;27;12;2019;1799;Producto 1799;3394;2
ART DE LIMPIEZA;4;10;2019;3056;Producto 3056;10001;2
ART DE LIMPIEZA;4;10;2019;3125;Producto 3125;70007;1
ART DE LIMPIEZA;4;10;2019;3067;Producto 3067;40004;2
ART DE LIMPIEZA;4;10;2019;3058;Producto 3058;40004;2
ART DE LIMPIEZA;4;10;2019;3055;Producto 3055;11001;2
ART DE LIMPIEZA;10;10;2019;3055;Producto 3055;11001;1
ART DE LIMPIEZA;10;10;2019;3058;Producto 3058;40004;2
ART DE LIMPIEZA;10;10;2019;3067;Producto 3067;40004;2
ART DE LIMPIEZA;10;10;2019;3125;Producto 3125;70007;1
ART DE LIMPIEZA;10;10;2019;3056;Producto 3056;10001;2
CREMAS HELADAS 5KG;1;10;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;1;10;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;1;10;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;1;10;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;1;10;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;1;10;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;1;10;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;1;10;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;1;10;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;1;10;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;1;10;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;1;10;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;1;10;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;1;10;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;1;10;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;1;10;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;1;10;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;1;10;2019;537;Producto 537;1238;2
CREMAS HELADAS 5KG;1;10;2019;517;Producto 517;1238;2
CREMAS HELADAS 5KG;1;10;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;3
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;1;10;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;1;10;2019;523;Producto 523;825;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;1;10;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;1;10;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;1;10;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;1;10;2019;523;Producto 523;825;1
CREMAS HELADAS 5KG;1;10;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;1;10;2019;503;Producto 503;1238;4
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;1;10;2019;402;Producto 402;1238;1
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;1;10;2019;505;Producto 505;1238;1
CREMAS HELADAS 5KG;1;10;2019;528;Producto 528;825;1
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;2
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;1;10;2019;528;Producto 528;825;2
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;3
CREMAS HELADAS 5KG;1;10;2019;402;Producto 402;1238;1
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;1;10;2019;528;Producto 528;825;1
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;1;10;2019;505;Producto 505;1238;1
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;1;10;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;1;10;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;1;10;2019;539;Producto 539;1238;1
CREMAS HELADAS 5KG;1;10;2019;539;Producto 539;1238;1
