NroZona;TipoNegocio;DIA;MES;ANIO;CodProducto;Producto;PrecioVenta;Cantidad
1;DESPENSA;3;10;2019;412;Producto 412;175;20
1;DESPENSA;3;10;2019;411;Producto 411;175;35
1;DESPENSA;3;10;2019;411;Producto 411;175;5
1;DESPENSA;7;10;2019;538;Producto 538;1238;1
1;DESPENSA;7;10;2019;410;Producto 410;113;12
1;DESPENSA;7;10;2019;409;Producto 409;113;12
1;DESPENSA;7;10;2019;412;Producto 412;175;35
1;DESPENSA;7;10;2019;411;Producto 411;175;35
1;DESPENSA;10;10;2019;362;Producto 362;42;18
1;DESPENSA;10;10;2019;360;Producto 360;68;12
1;DESPENSA;10;10;2019;410;Producto 410;113;24
1;DESPENSA;10;10;2019;409;Producto 409;113;24
1;DESPENSA;10;10;2019;412;Producto 412;175;100
1;DESPENSA;10;10;2019;411;Producto 411;175;130
1;DESPENSA;10;10;2019;110;Producto 110;40;10
1;DESPENSA;10;10;2019;109;Producto 109;22;10
1;DESPENSA;10;10;2019;102;Producto 102;12;15
1;DESPENSA;10;10;2019;101;Producto 101;12;40
1;DESPENSA;11;10;2019;412;Producto 412;175;34
1;DESPENSA;11;10;2019;411;Producto 411;175;40
1;DESPENSA;15;10;2019;27;Producto 27;60;15
1;DESPENSA;15;10;2019;412;Producto 412;175;75
1;DESPENSA;15;10;2019;411;Producto 411;175;90
1;DESPENSA;15;10;2019;360;Producto 360;68;24
1;DESPENSA;15;10;2019;410;Producto 410;113;24
1;DESPENSA;15;10;2019;409;Producto 409;113;12
1;DESPENSA;15;10;2019;469;Producto 469;224;10
1;DESPENSA;15;10;2019;468;Producto 468;224;5
1;DESPENSA;15;10;2019;411;Producto 411;175;6
1;DESPENSA;18;10;2019;27;Producto 27;60;10
1;DESPENSA;18;10;2019;412;Producto 412;175;65
1;DESPENSA;18;10;2019;411;Producto 411;175;80
1;DESPENSA;18;10;2019;362;Producto 362;42;18
1;DESPENSA;18;10;2019;410;Producto 410;113;12
